movie_id,us_gross_income,worldwide_gross_income,production_budget
446,3357324.0,3357324.0,10000000.0
447,83043761.0,180343761.0,13900000.0
448,28750530.0,46309352.0,7000000.0
450,47379090.0,130279090.0,75000000.0
451,133311000.0,290539042.0,90000000.0
452,34302837.0,135302837.0,20000000.0
453,13756082.0,68756082.0,13000000.0
454,59891098.0,100523181.0,8000000.0
455,56441711.0,122840603.0,15000000.0
456,74273505.0,162103209.0,25000000.0
457,50980159.0,129425746.0,30000000.0
458,143495265.0,230327671.0,7000000.0
459,49033882.0,92987651.0,21500000.0
461,141319928.0,365257315.0,14000000.0
462,127509326.0,329809326.0,160000000.0
463,18622031.0,28144586.0,29000000.0
464,31841299.0,50164027.0,20000000.0
465,34192652.0,106107610.0,33000000.0
466,14700000.0,44468574.0,15000000.0
467,760167650.0,2767891499.0,237000000.0
468,255959475.0,301759475.0,35000000.0
469,115646235.0,206552113.0,30000000.0
470,12574914.0,14134502.0,7500000.0
471,120831050.0,320389438.0,70000000.0
473,9228788.0,30710147.0,7000000.0
474,293004164.0,731304609.0,175000000.0
475,83823381.0,166077420.0,30000000.0
480,285630280.0,753830280.0,160000000.0
481,20553799.0,20553799.0,4000000.0
483,410640665.0,1046340665.0,200000000.0
485,5951693.0,5951693.0,2000000.0
561,50003303.0,50003303.0,15000000.0
