movie_id,imdb_rating,imdb_votes,tomatometer_rating,tomatometer_count,audience_rating,audience_count
181,6.6,13797,42,31,54,6192
182,8.0,100501,97,58,89,25442
183,6.8,8627,81,16,64,5038
184,7.1,5284,78,9,90,68249
185,7.8,36499,91,45,91,30417
186,7.6,45045,92,61,84,14883
187,7.3,11012,95,22,81,5248
188,6.8,9876,33,18,69,6018
189,8.0,132970,97,59,93,63470
190,7.6,38752,97,36,81,15548
191,8.1,147893,99,72,95,52205
192,7.7,26649,92,25,87,7557
193,7.3,5766,86,7,77,3106
194,7.4,23448,88,26,87,54305
195,6.3,3276,60,10,43,2021
196,7.7,22916,98,42,87,6757
197,6.5,4688,0,0,0,0
198,7.7,16057,92,25,84,6728
199,7.1,8425,50,8,54,2519
200,7.0,3763,67,6,74,1108
201,6.8,26019,69,42,57,33440
202,7.4,6784,88,8,81,1251
203,7.6,36951,95,44,87,24255
204,7.4,24685,96,26,83,61003
205,7.9,66969,89,37,87,60242
206,8.1,210558,95,59,93,54711
207,9.0,725938,0,0,0,0
208,7.2,5707,65,17,72,3106
209,7.1,6473,0,0,0,0
210,8.4,115545,100,31,95,8968
211,6.7,21807,81,37,74,20979
212,7.9,10825,93,15,93,8232
213,8.0,47222,97,37,92,31748
214,7.6,14358,83,24,87,5151
215,7.4,7248,69,16,76,1355
216,8.1,227894,86,50,89,106187
217,8.0,62835,100,47,90,12375
218,7.4,12413,79,19,77,27953
219,7.6,9968,94,16,82,5552
220,7.5,5746,0,0,0,0
221,8.3,171390,93,71,94,38188
222,6.8,15189,52,21,63,7337
223,7.8,11043,0,0,0,0
224,7.1,1506,0,0,0,0
225,7.1,4031,75,12,62,589
226,7.5,101270,92,78,84,168990
227,6.9,2121,0,0,0,0
228,7.5,47296,92,24,86,20751
229,8.0,78871,98,44,93,31217
230,8.2,73363,0,0,0,0
231,8.3,278596,98,88,93,75122
232,7.8,53759,87,23,90,42928
233,7.7,16665,94,17,85,30549
234,7.2,15634,68,19,73,4471
235,8.3,303387,0,0,0,0
236,6.5,12448,82,39,58,5491
237,7.8,5215,67,9,85,976
238,7.0,31027,62,39,69,20541
239,7.1,19741,0,0,0,0
240,7.6,9751,91,23,86,6139
241,7.8,90361,0,0,0,0
242,7.8,14231,76,25,87,5611
243,8.4,466261,0,0,0,0
244,7.8,163118,100,51,86,682486
245,7.7,21591,80,10,86,7146
246,8.0,215374,83,71,91,606397
247,7.1,6468,67,18,71,2184
248,8.0,72548,84,49,88,45777
249,7.1,5725,72,18,78,1178
250,7.4,3349,0,0,0,0
251,7.7,33107,83,42,87,9774
252,7.0,14178,96,27,76,14669
253,7.0,8473,86,21,75,4763
254,7.6,14184,89,18,88,5639
255,8.0,72597,95,43,91,21663
256,7.9,70719,95,55,92,23185
257,7.8,107803,88,64,88,56566
258,6.2,9028,29,21,57,73397
259,8.0,261921,87,82,90,183610
260,7.8,41907,70,37,85,38252
261,7.4,36386,82,34,81,56092
262,7.4,21174,93,45,85,19884
263,7.9,30196,90,40,90,13105
264,7.3,3213,86,7,77,492
265,7.6,30500,95,37,74,65196
266,7.8,106077,88,75,88,40013
267,7.5,7138,38,13,83,3281
268,8.0,208400,90,51,92,71183
269,7.1,14420,43,30,76,21196
270,8.3,25227,93,46,93,6526
271,7.9,98155,94,49,93,43309
272,6.6,18289,73,15,53,11263
273,7.5,35199,88,50,84,13154
274,6.9,32681,68,25,75,35290
275,7.5,69897,87,53,83,53152
276,7.7,115341,98,60,87,44341
277,8.3,783346,88,64,93,436890
278,8.0,41233,83,41,92,52560
279,8.0,44843,100,57,90,14148
280,7.2,4671,67,15,78,1674
281,9.2,1697396,98,99,98,733939
282,7.8,51698,93,43,87,36098
283,7.7,102934,89,63,82,49424
284,8.0,6121,0,0,0,0
285,7.6,3920,0,0,0,0
286,8.3,249856,94,63,95,61731
287,7.4,85117,96,52,84,64618
288,8.1,32122,90,30,91,9251
289,8.0,375156,83,81,87,420304
290,6.5,2991,83,12,64,2032
291,9.0,1178981,0,0,0,0
292,8.2,308349,99,75,93,77911
293,7.8,105312,96,55,90,35156
294,7.6,15444,88,25,88,6547
295,7.0,41582,69,32,72,28338
296,8.7,950833,94,80,96,279760
297,8.1,157491,91,74,92,45079
298,8.0,245162,96,45,90,110209
299,8.0,563056,98,88,90,944601
300,7.7,25084,90,62,84,10086
301,8.1,537813,94,65,69,33403994
302,8.0,109033,94,63,92,50300
303,7.3,4892,0,0,0,0
304,8.1,151780,91,68,93,36359
305,8.2,758393,96,92,93,260593
306,8.0,257550,98,82,92,153745
307,7.4,13292,84,19,84,7479
308,7.2,9219,0,0,0,0
309,8.6,1272908,0,0,0,0
310,6.9,4457,0,0,0,0
311,8.1,323543,93,76,92,103489
312,7.3,13023,0,0,0,0
313,6.9,19822,88,41,68,13232
314,7.6,76311,96,26,89,31089
315,7.2,5113,0,0,0,0
316,7.8,138582,88,52,89,43464
317,7.9,29674,0,0,0,0
318,8.4,627726,98,95,94,286037
319,7.7,22594,95,37,88,9343
320,7.3,11062,0,0,0,0
321,7.7,49328,89,54,88,23217
322,7.5,17579,86,22,86,36305
323,8.1,229693,92,53,93,64544
324,8.2,334550,93,74,93,131407
325,7.3,15999,81,26,78,6331
326,7.2,57292,82,73,80,37166
327,7.3,16039,100,33,77,5228
328,7.6,29276,93,29,87,20566
329,8.4,914188,95,80,96,826663
330,7.6,35213,0,0,0,0
331,8.0,223282,85,61,92,49831
332,7.8,386073,0,0,0,0
333,7.7,20689,0,0,0,0
334,7.4,101492,90,51,81,58527
335,7.7,37826,88,33,88,10381
336,7.4,57538,78,54,83,36329
337,7.2,34895,68,38,77,22301
338,7.6,5072,100,14,87,1802
339,7.8,59265,0,0,0,0
340,7.4,10060,84,25,82,3613
341,8.3,381101,93,99,95,180143
342,7.8,53545,93,43,92,23126
343,7.3,18017,76,25,78,6936
344,7.4,11271,89,38,83,6741
345,7.2,9570,90,20,81,6506
346,7.2,76084,59,54,83,40320
347,7.8,82027,81,31,94,180874
348,7.4,15003,87,30,81,7183
349,6.7,23681,0,0,0,0
350,7.4,90252,93,41,80,46814
351,8.1,394151,88,67,93,239850
352,7.2,15807,82,33,79,8543
353,7.9,69273,91,56,90,31072
354,7.4,58975,64,25,87,38896
355,7.3,41517,0,0,0,0
356,7.7,98273,89,72,88,39918
357,7.2,28908,98,51,79,11001
358,6.9,80634,76,54,72,53027
359,7.3,13104,0,0,0,0
360,7.1,54964,93,61,81,44806
361,8.0,488860,89,80,90,314120
362,6.8,15488,81,32,60,6208
363,7.6,66909,93,30,83,46589
364,7.8,94171,84,25,90,39455
365,6.8,54343,84,44,67,33603
366,7.4,104806,0,0,0,0
367,7.2,101778,85,48,76,59360
368,8.1,446811,84,57,92,307114
369,7.5,113841,87,60,86,192920
370,7.9,71014,98,41,92,26763
371,8.0,249524,0,0,0,0
372,7.8,132136,88,33,89,55182
373,7.1,204848,74,74,80,469588
374,7.6,373892,0,0,0,0
375,8.7,1065109,0,0,0,0
376,8.6,1326186,96,101,95,847028
377,8.0,427333,94,117,92,760077
378,6.8,27635,85,60,69,10228
379,8.0,147893,84,63,88,62583
380,6.7,17342,69,32,70,9233
381,8.2,390280,96,106,93,122729
382,7.3,53289,94,67,78,31834
383,7.7,245903,83,64,89,325423
384,7.4,30508,94,66,82,13673
385,8.0,277333,89,44,92,119250
386,8.9,1261563,97,100,97,411608
387,7.8,278006,96,77,89,267812
388,8.1,165134,94,50,95,41328
389,7.6,81749,92,61,86,48469
390,7.8,69613,95,42,89,24343
391,8.8,1895991,71,103,95,1244237
392,7.1,145046,96,69,74,185024
393,8.9,1900918,92,106,96,1127813
394,7.5,66948,96,56,87,31595
395,9.3,2452594,91,75,98,886485
396,8.3,986016,78,82,85,32708456
397,7.6,279684,96,92,87,432986
398,6.8,120428,97,70,67,508807
399,7.7,34974,0,0,0,0
400,7.7,108657,0,0,0,0
401,7.4,183677,85,88,83,81711
402,8.1,641314,94,96,93,234273
403,7.3,251072,0,0,0,0
404,8.0,41079,0,0,0,0
405,7.7,52751,91,44,90,30884
406,7.8,1089044,89,192,69,35797635
407,7.7,285908,85,79,86,378698
408,7.2,102282,96,50,79,180109
409,8.3,896929,97,79,94,364798
410,8.2,550162,99,114,94,150735
411,7.1,218538,92,141,80,226989
412,7.4,95572,82,62,86,63472
413,8.6,649390,0,0,0,0
414,8.6,1287001,93,142,95,993261
415,7.6,179626,80,102,80,148681
416,8.3,1101496,87,190,93,660578
417,7.4,95629,71,112,77,53501
418,8.6,1198434,78,134,94,813775
419,7.8,165522,96,137,90,59195
420,8.1,939659,86,158,90,1036685
421,8.5,1393352,77,199,87,34128168
422,7.2,183002,62,117,83,328939
423,7.8,259991,0,0,0,0
424,7.4,184808,84,146,81,418647
425,7.6,201093,93,161,85,190385
426,8.2,878511,74,213,93,490923
427,7.2,83531,86,160,78,48527
428,7.4,39427,93,138,81,20122
429,8.8,1724755,91,233,95,1355751
430,7.6,273077,76,199,89,505231
431,7.2,221622,86,257,83,439544
432,7.5,418948,73,211,81,294323
433,7.5,127773,80,194,84,85936
434,8.7,1540135,95,255,95,1341428
435,8.5,766841,95,182,96,253230
436,8.9,1703481,93,275,86,34679773
437,7.7,431381,0,0,0,0
438,7.4,210599,85,217,80,141077
439,7.9,435337,88,206,89,203535
440,7.3,70147,78,205,76,118428
441,8.1,655679,91,268,90,405053
442,7.5,344901,86,224,79,207578
443,7.7,202139,83,208,87,465413
444,7.7,142545,80,206,87,214558
445,7.5,184511,97,233,79,197689
446,7.7,426775,74,241,88,442331
447,7.7,337000,87,246,82,519853
448,7.3,128822,90,196,82,115946
449,7.4,95865,0,0,0,0
450,7.5,218462,78,210,83,330206
451,8.5,1235906,91,280,94,737806
452,7.4,295061,69,200,77,377310
453,7.9,157732,91,202,86,341085
454,7.8,453506,91,218,91,427127
455,7.3,107000,96,198,76,175607
456,8.1,896630,93,287,86,399154
457,7.8,261609,83,217,80,227149
458,7.4,502296,94,216,88,549481
459,7.2,160164,91,203,69,299971
460,8.2,542278,92,236,86,255192
461,8.0,816485,91,288,90,1155769
462,7.8,611518,72,254,80,690720
463,7.7,105602,93,256,88,109836
464,7.5,168756,93,244,89,178019
465,7.6,235605,63,202,79,206910
466,7.5,433326,0,0,0,0
467,7.8,1153124,82,317,82,1382566
468,7.6,305982,66,204,85,431835
469,7.9,653215,90,312,82,1178535
470,7.3,131326,94,195,80,54962
471,8.3,1326791,89,329,88,775878
472,7.3,107998,0,0,0,0
473,7.1,137770,90,223,68,63118
474,8.2,971845,98,296,90,1204027
475,7.4,325743,91,285,79,228473
476,8.0,655187,94,296,92,144575
477,7.5,359243,93,235,85,95883
478,8.0,721688,85,309,84,178032
479,7.8,350469,90,250,89,121498
480,8.8,2160498,87,357,91,571078
481,7.0,127959,92,224,74,63588
482,7.7,651516,96,321,86,204126
483,8.2,783665,98,307,89,607537
484,7.6,322030,96,272,85,158268
485,7.2,138998,94,174,76,51756
486,7.9,235457,95,317,87,58629
487,7.3,236381,88,265,79,69968
488,6.9,99514,0,0,0,0
489,8.0,438666,76,227,89,107868
490,7.5,312181,93,227,78,82865
491,7.7,401524,93,224,83,82553
492,7.6,389329,94,266,86,91772
493,6.8,171734,85,286,60,60899
494,7.2,151533,75,237,74,69714
495,7.7,588984,96,356,90,208711
496,7.9,96258,93,223,82,20897
497,7.3,82051,87,204,76,39335
498,8.4,1420092,87,288,91,429231
499,7.9,598436,87,251,84,169196
500,7.3,223752,0,0,0,0
501,7.6,317030,69,255,79,265259
502,7.7,679022,92,256,86,260499
503,7.4,283119,0,0,0,0
504,8.1,662741,95,365,90,140313
505,7.2,460918,92,289,74,175937
506,7.8,436364,93,274,89,152496
507,8.0,459404,93,257,91,92788
508,7.7,789470,96,354,80,303162
509,8.0,565149,95,278,82,101535
510,7.7,115031,91,247,83,44798
511,7.6,96771,90,198,89,52399
512,8.2,1257166,80,284,83,180827
513,7.7,599240,0,0,0,0
514,7.3,455885,0,0,0,0
515,7.9,343822,97,321,81,89725
516,8.1,741950,91,305,86,97547
517,8.0,714452,89,281,91,103920
518,7.5,89059,99,308,86,61482
519,7.7,421764,80,270,84,75918
520,8.5,758911,94,296,94,70212
521,8.1,440413,97,367,93,70385
522,7.8,387192,88,322,88,69098
523,7.6,298091,90,307,87,65466
524,7.5,135972,97,269,87,46857
525,8.1,922840,97,422,85,128344
526,8.0,791919,91,374,91,131656
527,8.0,738208,78,397,84,105270
528,8.1,391182,93,312,93,49668
529,7.4,287563,98,384,79,45533
530,7.9,629568,94,426,82,83315
531,7.2,102639,92,265,75,36228
532,8.1,464504,84,277,91,55594
533,7.6,213325,97,280,88,40088
534,7.8,211233,0,0,0,0
