movie_id,movie_name,release_year,original_release_date,movie_length,genre,rating,movie_producer,movie_director,movie_actor
28,42nd Street,1933,3/9/33,89,"Comedy,Drama,Musical",NR,Warner Bros.,Lloyd Bacon,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Dick Powell, Guy Kibbee, Una Merkel, Ginger Rogers, George E. Stone, Harry Akst, Harry Warren, Al Dubin, Robert McWade, Ned Sparks, Eddie Nugent, Allen Jenkins, Clarence Nordstrom, Henry B. Walthall, Albert Akst, Toby Wing, Pat Wing, Tom Kennedy, Busby Berkeley, Wallis Clark, Jack LaRue, Alexis Dubin, Louise Beavers, Dave O'Brien, Patricia Ellis, George Irving, Charles Lane, Rolfe Sedan, Harry Seymour, Gertrude Keeler, Helen Keeler, Joan Barclay, Ann Hovey, Renee Whitney, Dorothy Coonan Wellman, Barbara Rogers, June Glory, Jayne Shadduck, Milton Kibbee, Adele Lacey, Loretta Andrews, Anne Hovey, Margaret La Marr, Mary Jane Halsey, Ruth Eddings, Edna Callaghan, Patricia Farnum, Maxine Cantway, Lynn Browning, Donna Mae Roberts, Lorena Layson, Alice Jans, Eve Marcy, Dorothy White, Evelyn Joice, Agnes Ray, Grace Tobin, Kermit Maynard, Lyle Talbot"
29,A Farewell to Arms,1932,12/8/32,80,"Drama,Romance,War",NR,Paramount,Frank Borzage,"Gary Cooper, Helen Hayes, Adolphe Menjou, Mary Philips, Jack LaRue, Blanche Frederici, Henry Armetta, George Humbert, Fred Malatesta, Mary Forbes, Tom Ricketts, Robert Cauterio, Gilbert Emery, Peggy Cunningham, Agostino Borgato, Paul Porcasi, Alice Adair, Inez Palange, Doris Lloyd, Herman Bing"
30,I Am a Fugitive from a Chain Gang,1932,,92,"Crime,Drama,Film-Noir",None,Warner Bros., , 
31,Lady for a Day,1933,,96,"Comedy,Drama",None,Columbia, , 
32,Little Women,1933,11/16/33,115,"Drama,Family,Romance",NR,RKO Radio,George Cukor,"Katharine Hepburn, Joan Bennett, Frances Dee, Jean Parker, Spring Byington, Paul Lukas, Edna May Oliver, Henry Stephenson, Douglass Montgomery, John Davis Lodge, Samuel S. Hinds, John Lodge, Mabel Colcord, Marion Ballou, Nydia Westman, June Filmer, Harry Beresford, Marina Schubert, Dorothy Gray, Olin Howland"
33,The Private Life of Henry VIII,1933,9/21/33,97,"Biography,Comedy,Drama",NR,London Films,Alexander Korda,"Charles Laughton, Merle Oberon, Binnie Barnes, Elsa Lanchester, Robert Donat, Miles Mander, Claude Allister, John Loder, Claud Allister, Lawrence Hanray, Wendy Barrie, Lady Tree, Everley Gregg, William Austin, John Turnbull, Frederick Culley, Gibb McLaughlin, Sam Livesey, Franklin Dyall, Judy Kelly, William Heughan"
34,She Done Him Wrong,1933,2/9/33,66,"Comedy,Drama,History",NR,Paramount,Lowell Sherman,"Mae West, Cary Grant, Gilbert Roland, Noah Beery Sr., Owen Moore, David Landau, Rafaela Ottiano, Noah Beery Sr., Dewey Robinson, Rochelle Hudson, Tammany Young, Fuzzy Knight, Grace La Rue, Robert E. Homans, Louise Beavers, Wade Boteler, Aggie Herring, Tom Kennedy, James Eagles, Tom McGuire, Al Hill, Arthur Housman, Mary Gordon, Michael Mark, Mike Donlin, Harry Wallace, Lee Kohlmar, Frank Moran, Heinie Conklin, Jack Carr, Ernie S. Adams"
35,Smilin' Through,1932,,98,"Drama,Romance",None,Metro-Goldwyn-Mayer, , 
36,State Fair,1933,,99,"Comedy,Drama,Romance",None,Fox, , 
37,It Happened One Night,1934,2/22/34,105,"Comedy,Romance",NR,Columbia,Frank Capra,"Claudette Colbert, Clark Gable, Walter Connolly, Jason Thomas, Roscoe Karns, Jameson Thomas, Ward Bond, Henry Wadsworth, Alan Hale, Claire McDowell, Arthur Hoyt, Blanche Frederici, Wallis Clark, Charles D. Brown, Hal Price, Eddy Chandler, Douglas Carter Beane, Ky Robinson, J. Frank Holliday, James Burke, Joseph Crehan, Matty Roubert, Sherry Hall, Mickey Daniels, Charles C. Wilson, George Breakston, Earl Pingree, Harry Hume, Oliver Eckhardt, Bess Flowers, Fred Walton, Ethel Sykes, Edmund Burns, Rev. Neal Dodd, Milton Kibbee, Eva Dennison, Eddie Kane, Harry Holman, Tom Ricketts, Maidel Turner, Irving Bacon, Frank Yaconelli, Harry C. Bradley, Harry Todd, Bert Starkey, Rita Ross, Ernie S. Adams, Billy Engle, Dave Wengren, Kit Guard"
38,The Barretts of Wimpole Street,1934,9/8/34,109,"Biography,Drama,Romance",NR,Metro-Goldwyn-Mayer,Sidney Franklin,"Norma Shearer, Fredric March, Charles Laughton, Ian Wolfe, Maureen O'Sullivan, Katherine Alexander, Una O'Connor, Marion Clayton, Ralph Forbes, Vernon P. Downing, Neville Clarke, Neville Clark, Matt Smith, Matthew Smith, Robert Carleton, Alan Conrad, Peter Hobbes, Ferdinand Munier, Leo G Carroll, Margaret Seddon, George Kirby, Winter Hall, Lowden Adams, Robert Bolder, Leo Carrillo"
39,Cleopatra,1934,,100,"Biography,Drama,History",None,Paramount, , 
40,Flirtation Walk,1934,,97,"Musical,Romance",None,First National, , 
41,The Gay Divorcee,1934,10/12/34,107,"Comedy,Musical,Romance",NR,RKO Radio,Mark Sandrich,"Fred Astaire, Ginger Rogers, Betty Grable, Alice Brady, Edward Everett Horton, Erik Rhodes, Eric Blore, Lillian Miles, Charles Coleman, William Austin, Paul Porcasi, E.E. Clive, George Davis, Alphonse Martell, Charles H. Bisharat, Charles D. Hall, Art Jarrett"
42,Here Comes the Navy,1934,,87,"Comedy,Drama,Romance",None,Warner Bros., , 
43,The House of Rothschild,1934,,88,"Biography,Drama,History",None,20th Century, , 
44,Imitation of Life,1934,11/26/34,111,"Drama,Romance",NR,Universal,John M. Stahl,"Claudette Colbert, Louise Beavers, Fredi Washington, Warren William, Ned Sparks, Juanita Quigley, Marilyn Knowlden, Rochelle Hudson, Sebie Hendricks, Dorothy Black, Alan Hale, Clarence Wilson, Henry Armetta, Henry Kolker, Wyndham Standing, Alice Ardell, Paul Porcasi, William B. Davidson, G.P. Huntley Jr., Noel Francis, Baby Jane Holzer, Walter Walker, G.P. Huntley, Franklin Pangborn, Tyler Brooke, William Austin, Alma Tell, Hazel Washington, Lenita Lane, Barry Norton, Joyce Compton, Reverend Gregg, Curry Lee, Claire McDowell, Mme. Sul Te Wan, Madame Sul-Te-Wan, Stuart Johnston, Fred 'Snowflake' Toones, Hattie McDaniel, Dennis O'Keefe"
45,One Night of Love,1934,,84,"Music,Romance",None,Columbia, , 
46,The Thin Man,1934,5/23/34,91,"Comedy,Crime,Mystery",NR,Metro-Goldwyn-Mayer,W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Minna Gombell, Porter Hall, Henry Wadsworth, William Henry, Harold Huber, Cesar Romero, Natalie Moorhead, Edward S. Brophy, Creighton Hale, Phil Tead, Nick Copeland, Dink Templeton, Ruth Channing, Edward Ellis, Gertrude Short, Clay Clement, Cyril Thornton, Robert E. Homans, Raymond Brown, Douglas Fowley, Sherry Hall, Polly Bailey, Thomas E. Jackson, Dixie Laughton, Arthur Belasco, Edward Hearn, Garry Owen, Fred Malatesta, Rolfe Sedan, Leo White, Walter Long, Kenneth Gibson, Tui Lorraine Bow, Bert Roach, Huey White, Ben Taggart, Charles Williams, John Larkin, Harry Tenbrook, Pat Flaherty"
47,Viva Villa!,1934,,115,"Action,Biography,Romance",None,Metro-Goldwyn-Mayer, , 
48,The White Parade,1934,,80,Drama,None,Jesse L. Lasky (production company), , 
49,Mutiny on the Bounty,1935,11/8/35,132,"Adventure,Biography,Drama",NR,Metro-Goldwyn-Mayer,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin, Eddie Quillan, Dudley Digges, Donald Crisp, Henry Stephenson, Francis Lister, Spring Byington, Movita, Mamo Clark, Ian Wolfe, Ivan Simpson, DeWitt Jennings, Stanley Fields, Wallis Clark, Vernon P. Downing, Dick Winslow, Byron Russell, Percy Waram, David Torrence, John Harrington, Robert Livingston, Douglas Walton, Alec Craig, Doris Lloyd, Eric Wilton, Lionel Belmore, Nadine Beresford, Marion Clayton, Mary Gordon, Winter Hall, James Cagney, David Niven, Charles Nauu, Sam Wallace Driscoll, Hal Le Sueur, William Bambridge, David Thursby, Crauford Kent, Pat Flaherty, Charles Irwin, John Powers, King Mojave, William Stack, Harold Entwistle, Will Stanton, Harry Cording"
50,Alice Adams,1935,1/1/35,99,"Comedy,Drama,Romance",NR,RKO Radio,George Stevens,"Katharine Hepburn, Fred MacMurray, Fred Stone, Evelyn Venable, Frank Albertson, Ann Shoemaker, Charley Grapewin, Grady Sutton, Hedda Hopper, Jonathan Hale, Janet McLeod, Virginia Howell, Zeffie Tilbury, Ella McKenzie, Hattie McDaniel"
51,Broadway Melody of 1936,1935,,101,"Musical,Romance",None,Metro-Goldwyn-Mayer, , 
52,Captain Blood,1935,12/28/35,119,"Action,Adventure,History",NR,Cosmopolitan,Michael Curtiz,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Lionel Atwill, Guy Kibbee, George Hassell, Robert H. Barrat, Donald Meek, J. Carroll Naish, Mary Forbes, Henry Stephenson, Jessie Ralph, Ross Alexander, Forrester Harvey, Frank McGlynn Sr., Hobart Cavanaugh, David Torrence, Pedro de Cordoba, Leonard Mudie, Stuart Casey, Halliwell Hobbes, Colin Kenny, E.E. Clive, Holmes Herbert, Reginald Barlow, Ivan Simpson, Denis D'Auburn, Vernon Steele, James Gardner, Georges Renavent, Murray Kinnell, Harry Cording, Maude Leslie, Chris-Pin Martin, David Thursby, Yola d'Avril, Renee Terres, Henry Otho, Lucille Porcett, Tina Minard, Alphonse Martell, Andre Cheron, Frank Puglia, Tom Wilson"
53,David Copperfield,1935,,130,"Adventure,Drama,Romance",None,Metro-Goldwyn-Mayer, , 
54,The Informer,1935,5/1/35,91,"Crime,Drama",NR,RKO Radio,John Ford,"Victor McLaglen, Preston S. Foster, J.M. Kerrigan, Wallace Ford, Heather Angel, Margot Grahame, Una O'Connor, Joe Sawyer, Neil Fitzgerald, Donald Meek, D'Arcy Corrigan, Leo McCabe, Gaylord ""Steve"" Pendleton, Francis Ford, May Boley, Grizelda Harvey, Denis O'Dea, Jack Mulhall, Robert Parrish, Clyde Cook, Barlowe Borland, Frank Moran, Joseph Sauer, Griselda Harvey, Arthur McLaglen"
55,The Lives of a Bengal Lancer,1935,,109,"Adventure,Drama,War",None,Paramount, , 
56,A Midsummer Night's Dream,1935,10/9/35,133,"Comedy,Fantasy,Romance",NR,Warner Bros.,"William Dieterle, Max Reinhardt","Ian Hunter, James Cagney, Olivia de Havilland, Joe E. Brown, Dick Powell, Jean Muir, Anita Louise, Hugh Herbert, Mickey Rooney, Ross Alexander, Frank McHugh, Victor Jory, Grant Mitchell, Veree Teasdale, Nina Theilade, Verree Teasdale, Dewey Robinson, Hobart Cavanaugh, Otis Harlan, Arthur Treacher, Katherine Frey, Helen Westcott, Fred Sale, Nini Theilade, Billy Barty, Kenneth Anger"
57,Les Misérables,1935,,108,"Drama,History,Romance",None,20th Century, , 
58,Naughty Marietta,1935,,105,"Drama,Musical,Romance",None,Metro-Goldwyn-Mayer, , 
59,Ruggles of Red Gap,1935,,90,"Comedy,Romance,Western",None,Paramount, , 
60,Top Hat,1935,9/6/35,101,"Comedy,Musical,Romance",NR,RKO Radio,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Helen Broderick, Eric Blore, Erik Rhodes, Eric Rhodes, Edward Mudie, Lucille Ball, Edgar Norton, Leonard Mudie, Gino Corrado, Peter Hobbes, Frank Mills, Tom Ricketts, Dennis O'Keefe, Ben Holmes, Nick Thompson, Tom Costello, John Impolito, Genaro Spagnoli, Rita Rozelle, Phyllis Coghlan, Charles Hall"
61,The Great Ziegfeld,1936,1/1/36,176,"Biography,Drama,Musical",NR,Metro-Goldwyn-Mayer,Robert Z. Leonard,"William Powell, Luise Rainer, Myrna Loy, Frank Morgan, Reginald Owen, Nat Pendleton, Virginia Bruce, Ernest Cossart, Robert Greig, Joseph Cawthorn, Raymond Walburn, Fanny Brice, Jean Chatburn, Ann Pennington, Ray Bolger, Harriet Hoctor, Charles Trowbridge, Gilda Gray, Andrew A. Trimble, Joan Holland, A.A. Trimble, Buddy Doyle, Charles Judels, Leon Errol, Marcelle Corday, Esther Muir, Herman Bing, Paul Irving, William Demarest, Alfred P. James, Miss Morocco, Suzanne Kaaren, Sarah Edwards, James P. Burtis, Mickey Daniels, Grace Hayle, Richard Tucker, Clay Clement, Larry Wheat, Selmer Jackson, William M. Griffith, Alice Keating, Rosina Lawrence, Jack Baxley, Charles Coleman, Eric Wilton, Mary Howard, Selmar Jackson, Bert Hanlon, Evelyn Dockson, Franklyn Ardell, John Larkin, David Burns, Phil Tead, Susan Fleming, Adrienne D'Ambricourt, Charles Fallon, Boothe Howard, Lawrence Wheat, Edwin Maxwell, Ruth Gillette, Stanley Morner, John Hyams, Wallis Clark, Billie Burke, Raymond Brown, Pat Nixon, Mary Lange, Dennis Morgan"
62,Anthony Adverse,1936,,141,"Adventure,Drama,Romance",None,Warner Bros., , 
63,Dodsworth,1936,9/23/36,101,"Drama,Romance",NR,Samuel Goldwyn Productions,William Wyler,"Walter Huston, Ruth Chatterton, Paul Lukas, Mary Astor, David Niven, Gregory Gaye, Maria Ouspenskaya, Odette Myrtil, Kathryn Marlowe, Spring Byington, John Payne, Harlan Briggs, Beatrice Maude, Gino Corrado, Inez Palange, Charles Halton, Jack George, Fred Malatesta, Dale Van Sickel, John Barclay, Wilson Benge"
64,Libeled Lady,1936,1/1/36,98,"Comedy,Romance",NR,Metro-Goldwyn-Mayer,Jack Conway,"Myrna Loy, William Powell, Spencer Tracy, Jean Harlow, Walter Connolly, Charley Grapewin, Cora Witherspoon, E.E. Clive, Bunny Beatty, Otto Yamaoka, Charles Trowbridge, Spencer Charters, George Chandler, Greta Meyer, William 'Billy' Benedict, Hal K. Dawson, Fred Graham, William Stack, Selmer Jackson, William Newell, Duke York, Pat West, Edwin Stanley, Wally Maher, Pinky Parker, Harry Lash, Pat Somerset, Selmar Jackson, Tom Mahoney, Richard Tucker, Libby Taylor, Eric Lonsdale, Olaf Hytten, Charles Irwin, Eddie Shubert, George Davis, Thomas Pogue, Myra Marsh, Hattie McDaniel, Howard Hickman, James T. Mack, Jack Mulhall, Dennis O'Keefe, Charles King, Nick Thompson, Inez Palange, Harry C. Bradley, Bodil Rosing, Barnett Parker, Robin Adair, Charles Croker King, Sherry Hall, Norman Ainsley, Alphonse Martell, Eric Wilton, Jay Eaton, Ralph Brooks"
65,Mr. Deeds Goes to Town,1936,4/12/36,115,"Comedy,Drama,Romance",NR,Columbia,Frank Capra,"Gary Cooper, Jean Arthur, George Bancroft, Ruth Donnelly, Lionel Stander, Douglass Dumbrille, Raymond Walburn, Margaret Matzenauer, H.B. Warner, Warren Hymer, Muriel Evans, Spencer Charters, Emma Dunn, Wyrley Birch, Wryley Birch, Arthur Hoyt, Stanley Andrews, Pierre Watkin, John Wray, Christian Rub, Jameson Thomas, Mayo Methot, Margaret Seddon, Margaret McWade, Russell Hicks, Gustav von Seyffertitz, Edward J. Le Saint, Charles Lane, Irving Bacon, George Cooper, Gene Morgan, Walter Catlett, Edward Gargan, Paul Hurst, Jay Eaton, Paul Porcasi, Franklin Pangborn, George 'Gabby' Hayes, Mary Lou Dix, George Meeker, Harry Holden, Barnett Parker, Eddie Kane, Patricia Monroe, Edward Keane, Lillian Ross, Peggy Page, Janet Eastman, Dennis O'Keefe, Dale Van Sickel, James Millican, Harry C. Bradley, Edwin Maxwell, Billy Bevan, Jack Mower, Ann Doran, Cecil Cunningham, John Picorri, Bess Flowers, Beatrice Curtis, Beatrice Blinn, Pauline Wagner, Frank Hammond, Lee Shumway, Charles Sullivan, Florence Wix, Hal Budlong, Ethel Palmer, Vesey O'Davoren, Charles C. Wilson"
66,Romeo and Juliet,1936,9/3/36,125,"Drama,Romance",NR,Metro-Goldwyn-Mayer,George Cukor,"Leslie Howard, Norma Shearer, John Barrymore, Basil Rathbone, Edna May Oliver, C. Aubrey Smith, Andy Devine, Henry Kolker, Violet Kemble Cooper, Ralph Forbes, Reginald Denny, Maurice Murphy, Conway Tearle, Virginia Hammond, Robert Warwick, Ian Wolfe, Carlyle Blackwell, Anthony Kemble-Cooper, Anthony Marsh, Howard Wilson, Carlyle Blackwell Jr., John Bryan, Katherine DeMille, Wallis Clark, Dean Richmond Bentor, Lita Chevret, Jeanne Hart, Dorothy Granger, Harold Entwistle, Vernon P. Downing, Charles Bancroft, Lon McCallister, José Rubio"
67,San Francisco,1936,6/26/36,115,"Drama,Musical,Romance",NR,Metro-Goldwyn-Mayer,"D.W. Griffith, W.S. Van Dyke","Clark Gable, Jeanette MacDonald, Spencer Tracy, Jack Holt, Ted Healy, Margaret Irving, Jessie Ralph, Harold Huber, Al Shean, Kenneth Harlan, William Ricciardi, Roger Imhof, Frank Mayo, Charles Judels, Russell Simpson, Bert Roach, Warren Hymer, Edgar Kennedy, Shirley Ross, Tandy MacKenzie, Tudor Williams, Spec O'Donnell, Bob McKenzie, Adrienne D'Ambricourt, Nigel De Brulier, Mae Digges, Nyas Berry, John Kelly, Jim Farley, Pat O'Malley, Otho Wright, Gertrude Astor, Ruth Gillette, Tom Dugan, Vince Barnett, Belle Mitchell, Fred M. Fagan, W.J. O'Brien, James Brewster Thompson, Samuel Glasser, John Pearson, Jason Robards Sr., William Newell, James Macklin, Tom McGuire, Wilbur Mack, Harry Myers, Edward Hearn, Henry Roquemore, G. Pat Collins, Harry Strang, Vernon Dent, Irving Bacon, Orrin Burke, David Thursby, John 'Skins' Miller, Helen Shipman, George Guhl, Edward Earle, Maude Allen, Jack Baxley, Carl Stockdale, Anthony Jowitt, Jane Barnes, Richard Carle, Oscar Apfel, Frank Sheridan, Ralph Lewis, Chester Gan, Jack Kennedy, Bill O'Brien, Cy Kendall, Don Rowan, Sherry Hall, Jason Robards Sr., Ben Taggart, Dennis O'Keefe, Charles Sullivan, Beatrice Roberts, Bruce Mitchell, Sidney Bracey, Tommy Bupp, Sam Ash, Bud Geary, George Magrill, King Baggot, Rhea Mitchell, Flora Finch, Fritzi Brunette, Helene Chadwick, Naomi Childers, Rosemary Theby, Jean Acker, Donald Hall"
68,The Story of Louis Pasteur,1936,,86,"Biography,Drama,History",None,Cosmopolitan, , 
81,You Can't Take It with You,1938,,126,"Comedy,Drama,Romance",None,Columbia, , 
69,A Tale of Two Cities,1935,1/1/35,128,"Drama,History,Romance",NR,Metro-Goldwyn-Mayer,Jack Conway,"Ronald Colman, Elizabeth Allan, Edna May Oliver, Reginald Owen, Basil Rathbone, Ronald L. Coleman, Henry B. Walthall, Donald Woods, Walter Catlett, Fritz Leiber, Blanche Yurka, H.B. Warner, Mitchell Lewis, Claude Gillingwater, Billy Bevan, Isabel Jewell, Lucille La Verne, Tully Marshall, Fay Chaldecott, Eily Malyon, E.E. Clive, Lawrence Grant, John Davidson, Tom Ricketts, Donald Haines, Ralf Harolde, Nigel De Brulier, Boyd Irwin, Sam Flint, Winter Hall, Edward Peil Sr., Edward Hearn, Richard Alexander, Cyril McLaglen, Frank Mayo, Walter Kingsford, Barlowe Borland, Rolfe Sedan, Robert Warwick, Dale Fuller, C. Montague Shaw, Tempe Piggott, Chappell Dossett, Forrester Harvey, Jimmy Aubrey, Solange Dantas dos Santos, Billy House"
70,Three Smart Girls,1936,12/20/36,84,"Comedy,Musical,Romance",NR,Universal,Henry Koster,"Deanna Durbin, Ray Milland, Binnie Barnes, Nan Grey, Alice Brady, Charles Winninger, Mischa Auer, Barbara Read, Ernest Cossart, Hobart Cavanaugh, John ""Dusty"" King, Lucile Watson, Nella Walker, Dennis O'Keefe, Gladden James, Wade Boteler, John Hamilton, Lane Chandler, Charles Coleman, Franklin Pangborn, Selmar Jackson, Albert Conti, Selmer Jackson"
